,temperature,light_intensity,light_dark_ratio,reactor_type,fermentation_mode,open_close_system,reactor_volume,reaction_volume,initial_OD,special_growth,no3_conc,phosphate_conc,co2_perc,air_bubbling,bubbling_speed (ml/min),hco3_conc,nacl_conc,medium_pH,substrate2,substrate2_conc(mg/L),substrate2_enthalpyFormation,genetic_wt,promoterInducer,inducerConc,genetic_mutation,genetic_heterologousInsertion,genetic_precursor,genetic_enzymaticSteps,productExporter,cofactorEnhance,pathwayOptimized,product,product permeability,numberC,numberH,numberN,numberO,product_enthalpyFormation,OD,growth_rate,product_titer,production_rate,paper,cultivation_time,species,ko genes,ox genes,genetic_knockoutSteps,genetic_heterologousSteps,OE_nativeSteps
pSI-pSII,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,IPTG,1,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.282842712,0.005892557,17,12,utex2973,NA,mcs,na,2,0
,38.0 ,100 ,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,60,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,0.59,0.00616,47,96,utex2973,NA,"IspS,IDI",na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,0.1,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,0.3,0.00625,16,48,utex2973,NA,"lims,gpps,dxs",na,2,1
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,0.05,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,0.3,0.00625,16,48,utex2973,NA,"lims,gpps,dxs",na,2,1
2522-GgpPS-drfba,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,0.01,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.348220225,0.007254588,17,24,utex2973,NA,"drfba,ggps,ggpp",na,2,1
2522-GgpPS-drfba,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,1,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.348220225,0.007254588,17,24,utex2973,NA,"drfba,ggps,ggpp",na,2,1
2522-GgpPS-drfba,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,0.1,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.348220225,0.007254588,17,24,utex2973,NA,"drfba,ggps,ggpp",na,2,1
2522-GgpPS-drfba,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,0.05,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.348220225,0.007254588,17,24,utex2973,NA,"drfba,ggps,ggpp",na,2,1
2522-GgpPS-drfba,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,0.01,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.348220225,0.007254588,17,24,utex2973,NA,"drfba,ggps,ggpp",na,2,1
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,0.1,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,0.4,0.008333333,16,48,utex2973,NA,"lims,gpps,dxs,idi",na,2,2
7,44,100,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,60,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,0.8,0.0087,47,96,utex2973,NA,"IspS,IDI",na,2,0
SL3228,38,500,0,2-cylindricalPBR,1-batch,1-open,100,na,0.1,na,247.1,5.43,5,1,na,0,0,na,na,0,0,0,IPTG,0.075,na,2-plasmid,gpp_l-tryptophan,3,na,na,0,cis Indole–Isonitrile,i,11,8,2,0,na,0.532805497,0.017760183,0.3,0.01,29,30,utex2973,NA," famH1,famH2,famH3,aph3",na,3,0
pSI-pSII,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,IPTG,0.1,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.509824251,0.010621339,17,24,utex2973,NA,mcs,na,2,0
5,38,100,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,60,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,1.1,0.0111,47,96,utex2973,NA,"IspS,IDI",na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,1,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,0.6,0.0125,16,48,utex2973,NA,"lims,gpps,dxs,idi",na,2,2
10,38,200,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,100,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,1.3,0.013,47,96,utex2973,NA,"IspS,IDI",na,2,0
4,41,300,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,100,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,1.3,0.0135,47,96,utex2973,NA,"IspS,IDI",na,2,0
ggpPs,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.324900959,0.013963067,17,12,utex2973,NA,"ggps,ggpp",na,2,0
ggpPs,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.492457765,0.013963067,17,24,utex2973,NA,"ggps,ggpp",na,2,0
ggpPs,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.627667278,0.013963067,17,36,utex2973,NA,"ggps,ggpp",na,2,0
ggpPs,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.696440451,0.013963067,17,48,utex2973,NA,"ggps,ggpp",na,2,0
ggpPs,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.828211939,0.013963067,17,60,utex2973,NA,"ggps,ggpp",na,2,0
ggpPs,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.918958684,0.013963067,17,72,utex2973,NA,"ggps,ggpp",na,2,0
ggpPs,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.931786869,0.013963067,17,84,utex2973,NA,"ggps,ggpp",na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,1,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,0.7,0.014583333,16,48,utex2973,NA,"lims,gpps,dxs",na,2,1
pSI-pSII,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,IPTG,0.05,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.746426393,0.01555055,17,36,utex2973,NA,mcs,na,2,0
IS1981,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.1649,0.005951984,na,0.016666667,1,24,utex2973,NA,"ino1,suhb,sll1981",0,3,0
IS1981,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3078,0.005951984,na,0.016666667,1,48,utex2973,NA,"ino1,suhb,sll1981",0,3,0
IS1981,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3078,0.005951984,na,0.016666667,1,72,utex2973,NA,"ino1,suhb,sll1981",0,3,0
IS1981,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3078,0.005951984,na,0.016666667,1,96,utex2973,NA,"ino1,suhb,sll1981",0,3,0
IS1981,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3078,0.005951984,2,0.016666667,1,120,utex2973,NA,"ino1,suhb,sll1981",0,3,0
12,44,200,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,100,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,1.6,0.0169,47,96,utex2973,NA,"IspS,IDI",na,2,0
pSI-pSII,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,IPTG,0.01,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.951365692,0.019820119,17,48,utex2973,NA,mcs,na,2,0
,38,250,0,1-shakingflask,1-batch,1-open,50,10,0.4,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,IPTG,0.05,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,1.1,0.022916667,16,48,utex2973,NA,"lims,gpps,dxs,idi",na,2,2
pSI-pSII,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,IPTG,1,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,1.13137085,0.023570226,17,60,utex2973,NA,mcs,na,2,0
3,41,100,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,100,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,2.3,0.0236,47,96,utex2973,NA,"IspS,IDI",na,2,0
15,41,200,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,60,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,2.3,0.024,47,96,utex2973,NA,"IspS,IDI",na,2,0
13,41,200,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,60,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,2.3,0.0243,47,96,utex2973,NA,"IspS,IDI",na,2,0
IS1722,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.1649,0.005951984,na,0.025,1,24,utex2973,NA,"ino1,suhb,sll1772",0,3,0
IS1722,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3078,0.005951984,na,0.025,1,48,utex2973,NA,"ino1,suhb,sll1772",0,3,0
IS1722,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3299,0.005951984,na,0.025,1,72,utex2973,NA,"ino1,suhb,sll1772",0,3,0
IS1722,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3299,0.005951984,na,0.025,1,96,utex2973,NA,"ino1,suhb,sll1772",0,3,0
IS1722,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3536,0.005951984,3,0.025,1,120,utex2973,NA,"ino1,suhb,sll1772",0,3,0
SL3283,38,250,0,2-cylindricalPBR,1-batch,1-open,100,na,0.1,na,247.1,5.43,5,1,na,0,0,na,na,0,0,0,IPTG,0.075,na,2-plasmid,gpp_l-tryptophan,5,na,na,0,12-epi-Hapalindole U ,i,21,24,2,0,na,0.901018115,0.030033937,0.75,0.025,29,30,utex2973,NA,"famH1,famH2,famH3,famE2,famD2,famC1,aph3",na,6,0
14,41,200,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,60,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,2.4,0.0252,47,96,utex2973,NA,"IspS,IDI",na,2,0
pSI-pSII,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,IPTG,0.1,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,1.255334557,0.026152803,17,72,utex2973,NA,mcs,na,2,0
,41.1 ,172.7 ,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,60,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,2.63,0.0274,47,96,utex2973,NA,"IspS,IDI",na,2,0
pSI-pSII,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,400,7.5,na,0,0,0,IPTG,0.05,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,1.345434264,0.028029881,17,84,utex2973,NA,mcs,na,2,0
,42.0 ,159.4 ,0,1-shakingflask,1-batch,2-closed,160,100,0.7,na,247.1,5.43,0.04,0,0,60,0,7.5,na,0,0,0,IPTG,1,na,1-genomic,ipp_dmapp,2,na,na,1,isoprene,,5,8,0,0,75.7,na,na,2.98,0.031,47,96,utex2973,NA,"IspS,IDI",na,2,0
,38,500,0,1-shakingflask,1-batch,1-open,50,10,0.05,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,2.05,0.042708333,16,48,utex2973,NA,"lims,gpps",na,2,0
,38,500,0,1-shakingflask,1-batch,1-open,50,10,0.05,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,2.2,0.045833333,16,48,utex2973,NA,"lims,gpps",na,2,0
,38,500,0,1-shakingflask,1-batch,1-open,50,10,0.05,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,2.2,0.045833333,16,48,utex2973,NA,"lims,gpps",na,2,0
TS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.1649,0.005951984,na,0.05,1,24,utex2973,NA,"tbips,suhb",0,2,0
TS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3078,0.005951984,na,0.05,1,48,utex2973,NA,"tbips,suhb",0,2,0
TS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3299,0.005951984,na,0.05,1,72,utex2973,NA,"tbips,suhb",0,2,0
TS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.3789,0.005951984,na,0.05,1,96,utex2973,NA,"tbips,suhb",0,2,0
TS,37,200,0,1-shakingflask,1-batch,1-open,250,50,0.044194174,na,247,5.43,0.04,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g6p,2,na,na,1,myo-inositol,e,6,12,0,6,-1130,0.4204,0.005951984,6,0.05,1,120,utex2973,NA,"tbips,suhb",0,2,0
,38,500,0,1-shakingflask,1-batch,1-open,50,10,0.05,6-10% v/v isopropyl myristate to trap limonene,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,ipp_dmapp,2,na,na,1,limonene,e,10,16,0,0,-93.3,na,na,2.4,0.05,16,48,utex2973,NA,"lims,gpps",na,2,0
psI,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.348220225,0.050263615,17,12,utex2973,NA,mcs,na,2,0
psI,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.696440451,0.050263615,17,24,utex2973,NA,mcs,na,2,0
psI,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,1.299603834,0.050263615,17,36,utex2973,NA,mcs,na,2,0
psI,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,1.392880901,0.050263615,17,48,utex2973,NA,mcs,na,2,0
psI,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,1.969831061,0.050263615,17,60,utex2973,NA,mcs,na,2,0
psI,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,2.111212657,0.050263615,17,72,utex2973,NA,mcs,na,2,0
psI,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,2.2627417,0.050263615,17,84,utex2973,NA,mcs,na,2,0
2522-gppPS,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.282842712,0.051775431,17,12,utex2973,NA,"ggps,ggpp",na,2,0
2522-gppPS,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,0.696440451,0.051775431,17,24,utex2973,NA,"ggps,ggpp",na,2,0
2522-gppPS,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,1.317745628,0.051775431,17,36,utex2973,NA,"ggps,ggpp",na,2,0
2522-gppPS,37,200,0,1-shakingflask,1-batch,1-open,na,na,na,na,247.1,5.43,1,0,0,0,0,7.5,na,0,0,0,na,0,na,2-plasmid,g3p_adp-glc,2,na,na,0,glucosylglycerol,,9,18,0,8,-334.9,na,na,1.492852786,0.051775431,17,48,utex2973,NA,"ggps,ggpp",na,2,0
